from,to,relation
rico,us,9
rumu,us,8
rico,symb,11
date,appa,1
rico,soft,8
symb,walm,4
rumu,unox,9
rico,unpe,10
date,us,8
stco,us,9
stco,sacc,1
rumu,kubi,4
rico,cswh,1
rumu,stco,5
adbi,kubi,1
stco,poin,2
rumu,news,2
rumu,foxc,2
stco,foxc,5
stco,us,8
stco,unpe,10
date,unpi,10
kubi,ind,9
